Company,Country,Continent,Laid_Off,Percentage,Industry,Stage,Year,Company_Size_before_Layoffs
Permutive,UK,Europe,80,40,Marketing,Series C,2023,200
Ynsect,France,Europe,17,25,Food,Series D,2023,68
Flink,Germany,Europe,8000,40,Food,Series B,2023,20000
N26,Germany,Europe,71,4,Finance,Series E,2023,1775
Zepz,UK,Europe,420,26,Finance,Series E,2023,1615
Flink,Germany,Europe,100,16,Food,Series B,2023,625
Taxfix,Germany,Europe,120,20,Finance,Series D,2023,600
Spotify,Sweden,Europe,200,2,Media,Post-IPO,2023,9400
GoCardless,UK,Europe,150,17,Finance,Series G,2023,882
Highsnobiety,Germany,Europe,24,10,Media,Acquired,2023,240
FNZ,UK,Europe,1000,15,Finance,Private Equity,2023,6667
DeepVerge,Ireland,Europe,50,100,Healthcare,Post-IPO,2023,50
Kape Technologies,UK,Europe,200,30,Security,Post-IPO,2023,667
Getir,UK,Europe,2500,11,Food,Series E,2023,22727
Veriff,Estonia,Europe,101,21,Security,Series C,2023,481
Huma,UK,Europe,45,10,Healthcare,Unknown,2023,450
Homeday,Germany,Europe,40,20,Real Estate,Unknown,2023,200
Arrival,UK,Europe,200,25,Transportation,Post-IPO,2023,800
ManoMano,France,Europe,230,25,Retail,Series F,2023,920
WeTranSan Francisco Bay Areaer,Netherlands,Europe,35,10,Other,Series A,2023,350
Zepz,UK,Europe,30,2,Finance,Series E,2023,1500
Spotify,Sweden,Europe,1500,17,Media,Post-IPO,2023,9200
TomTom,Poland,Europe,45,NA,Transportation,Post-IPO,2024,NA
Curalie,Germany,Europe,NA,100,Healthcare,Unknown,2024,NA
Solarisbank,Germany,Europe,20,NA,Finance,Unknown,2024,NA
Jellysmack,France,Europe,NA,NA,Media,Series C,2024,NA
Checkout.com,UK,Europe,80,NA,Finance,Series D,2024,NA
Delivery Hero,Germany,Europe,NA,NA,Food,Post-IPO,2024,NA
Pitch,Germany,Europe,80,67,Other,Series B,2024,119
EVBox,Netherlands,Europe,NA,NA,Energy,Post-IPO,2024,NA
New Work SE,Germany,Europe,400,NA,Consumer,Post-IPO,2024,NA
GrabCAD,Estonia,Europe,13,NA,Other,Acquired,2024,NA
Thursday,UK,Europe,NA,70,Consumer,Seed,2024,NA
Sirplus,Germany,Europe,60,NA,Food,Seed,2024,NA
GoStudent,Austria,Europe,100,NA,Education,Series D,2024,NA
SAP,Germany,Europe,8000,7,Other,Post-IPO,2024,114286
Seedr,UK,Europe,15,NA,Finance,Acquired,2024,NA
Personio,Germany,Europe,100,NA,HR,Series E,2024,NA
Storytel,Sweden,Europe,80,13,Media,Post-IPO,2024,615
Kiwi.com,Czech Republic,Europe,216,18,Travel,Unknown,2024,1200
Vipps,Lithuania,Europe,NA,NA,Finance,Unknown,2024,NA
